"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\chava gamer\Code\wormhole_client\views\404.ejs", "HTML", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\chava gamer\Code\wormhole_client\views\agenda.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chava gamer\Code\wormhole_client\views\agregarBlog.ejs", "HTML", 113, 0, 0, 0, 0, 0, 16, 129
"c:\Users\chava gamer\Code\wormhole_client\views\agregarDeporte.ejs", "HTML", 114, 0, 0, 0, 0, 4, 16, 134
"c:\Users\chava gamer\Code\wormhole_client\views\agregarHobbie.ejs", "HTML", 110, 0, 0, 0, 0, 4, 20, 134
"c:\Users\chava gamer\Code\wormhole_client\views\agregarMateria.ejs", "HTML", 110, 0, 0, 0, 0, 4, 22, 136
"c:\Users\chava gamer\Code\wormhole_client\views\agregarMeta.ejs", "HTML", 117, 0, 0, 0, 0, 4, 19, 140
"c:\Users\chava gamer\Code\wormhole_client\views\blogs.ejs", "HTML", 117, 0, 0, 0, 0, 1, 22, 140
"c:\Users\chava gamer\Code\wormhole_client\views\blogtest.ejs", "HTML", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\chava gamer\Code\wormhole_client\views\busqueda.ejs", "HTML", 118, 0, 0, 0, 0, 4, 36, 158
"c:\Users\chava gamer\Code\wormhole_client\views\contacto.ejs", "HTML", 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\chava gamer\Code\wormhole_client\views\deporte.ejs", "HTML", 120, 0, 0, 0, 0, 4, 23, 147
"c:\Users\chava gamer\Code\wormhole_client\views\details.ejs", "HTML", 300, 0, 0, 0, 0, 4, 72, 376
"c:\Users\chava gamer\Code\wormhole_client\views\editReport.ejs", "HTML", 33, 0, 0, 0, 0, 0, 9, 42
"c:\Users\chava gamer\Code\wormhole_client\views\editarAgenda.ejs", "HTML", 112, 0, 0, 0, 0, 1, 19, 132
"c:\Users\chava gamer\Code\wormhole_client\views\editarRuedaDeVida.ejs", "HTML", 126, 0, 0, 0, 0, 1, 21, 148
"c:\Users\chava gamer\Code\wormhole_client\views\editarRuedaDeVidaM.ejs", "HTML", 123, 0, 0, 0, 0, 4, 21, 148
"c:\Users\chava gamer\Code\wormhole_client\views\emprendimiento.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chava gamer\Code\wormhole_client\views\estudio.ejs", "HTML", 114, 0, 0, 0, 0, 4, 22, 140
"c:\Users\chava gamer\Code\wormhole_client\views\faqs.ejs", "HTML", 85, 0, 0, 0, 0, 15, 25, 125
"c:\Users\chava gamer\Code\wormhole_client\views\faqsEdit.ejs", "HTML", 98, 0, 0, 0, 0, 3, 15, 116
"c:\Users\chava gamer\Code\wormhole_client\views\faqsSession.ejs", "HTML", 103, 0, 0, 0, 0, 17, 39, 159
"c:\Users\chava gamer\Code\wormhole_client\views\hobbies.ejs", "HTML", 114, 0, 0, 0, 0, 4, 30, 148
"c:\Users\chava gamer\Code\wormhole_client\views\index.ejs", "HTML", 41, 0, 0, 0, 0, 1, 7, 49
"c:\Users\chava gamer\Code\wormhole_client\views\layout.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chava gamer\Code\wormhole_client\views\login.ejs", "HTML", 24, 0, 0, 0, 0, 0, 14, 38
"c:\Users\chava gamer\Code\wormhole_client\views\logout.ejs", "HTML", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\chava gamer\Code\wormhole_client\views\nuevoReporte.ejs", "HTML", 62, 0, 0, 0, 0, 0, 9, 71
"c:\Users\chava gamer\Code\wormhole_client\views\partials\footer.ejs", "HTML", 67, 0, 0, 0, 0, 0, 17, 84
"c:\Users\chava gamer\Code\wormhole_client\views\partials\header.ejs", "HTML", 14, 0, 0, 0, 0, 1, 2, 17
"c:\Users\chava gamer\Code\wormhole_client\views\partials\sideBar.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chava gamer\Code\wormhole_client\views\perfil.ejs", "HTML", 86, 0, 0, 0, 0, 6, 31, 123
"c:\Users\chava gamer\Code\wormhole_client\views\perfilUser.ejs", "HTML", 60, 0, 0, 0, 0, 1, 19, 80
"c:\Users\chava gamer\Code\wormhole_client\views\planDeVida.ejs", "HTML", 120, 0, 0, 0, 0, 4, 23, 147
"c:\Users\chava gamer\Code\wormhole_client\views\privacidad.ejs", "HTML", 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\chava gamer\Code\wormhole_client\views\publicaciones.ejs", "HTML", 50, 0, 0, 0, 0, 1, 18, 69
"c:\Users\chava gamer\Code\wormhole_client\views\register.ejs", "HTML", 56, 0, 0, 0, 0, 0, 10, 66
"c:\Users\chava gamer\Code\wormhole_client\views\reporteCompleto.ejs", "HTML", 32, 0, 0, 0, 0, 1, 11, 44
"c:\Users\chava gamer\Code\wormhole_client\views\reportes.ejs", "HTML", 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\chava gamer\Code\wormhole_client\views\reportesListaGeneral.ejs", "HTML", 34, 0, 0, 0, 0, 0, 13, 47
"c:\Users\chava gamer\Code\wormhole_client\views\resultadosBusqueda.ejs", "HTML", 56, 0, 0, 0, 0, 0, 20, 76
"c:\Users\chava gamer\Code\wormhole_client\views\ruedaDeVida.ejs", "HTML", 183, 0, 0, 0, 0, 1, 30, 214
"c:\Users\chava gamer\Code\wormhole_client\views\singlePublicacion.ejs", "HTML", 98, 0, 0, 0, 0, 0, 27, 125
"c:\Users\chava gamer\Code\wormhole_client\views\welcome.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 3243, 18, 3193, 2008, 2, 239, 1608, 10311
